Web Search interest: tyc
Worldwide 2004 - present

Interest over time
Week,tyc
2005-01-16 - 2005-01-22,8
2005-01-23 - 2005-01-29,8
2005-01-30 - 2005-02-05,11
2005-02-06 - 2005-02-12,15
2005-02-13 - 2005-02-19,13
2005-02-20 - 2005-02-26,13
2005-02-27 - 2005-03-05,15
2005-03-06 - 2005-03-12,15
2005-03-13 - 2005-03-19,15
2005-03-20 - 2005-03-26,16
2005-03-27 - 2005-04-02,14
2005-04-03 - 2005-04-09,13
2005-04-10 - 2005-04-16,14
2005-04-17 - 2005-04-23,13
2005-04-24 - 2005-04-30,16
2005-05-01 - 2005-05-07,14
2005-05-08 - 2005-05-14,16
2005-05-15 - 2005-05-21,15
2005-05-22 - 2005-05-28,24
2005-05-29 - 2005-06-04,18
2005-06-05 - 2005-06-11,20
2005-06-12 - 2005-06-18,20
2005-06-19 - 2005-06-25,20
2005-06-26 - 2005-07-02,27
2005-07-03 - 2005-07-09,16
2005-07-10 - 2005-07-16,20
2005-07-17 - 2005-07-23,15
2005-07-24 - 2005-07-30,16
2005-07-31 - 2005-08-06,20
2005-08-07 - 2005-08-13,20
2005-08-14 - 2005-08-20,21
2005-08-21 - 2005-08-27,20
2005-08-28 - 2005-09-03,21
2005-09-04 - 2005-09-10,22
2005-09-11 - 2005-09-17,20
2005-09-18 - 2005-09-24,28
2005-09-25 - 2005-10-01,19
2005-10-02 - 2005-10-08,24
2005-10-09 - 2005-10-15,18
2005-10-16 - 2005-10-22,18
2005-10-23 - 2005-10-29,17
2005-10-30 - 2005-11-05,15
2005-11-06 - 2005-11-12,24
2005-11-13 - 2005-11-19,26
2005-11-20 - 2005-11-26,17
2005-11-27 - 2005-12-03,19
2005-12-04 - 2005-12-10,18
2005-12-11 - 2005-12-17,22
2005-12-18 - 2005-12-24,14
2005-12-25 - 2005-12-31,13
2006-01-01 - 2006-01-07,11
2006-01-08 - 2006-01-14,15
2006-01-15 - 2006-01-21,16
2006-01-22 - 2006-01-28,14
2006-01-29 - 2006-02-04,20
2006-02-05 - 2006-02-11,22
2006-02-12 - 2006-02-18,20
2006-02-19 - 2006-02-25,18
2006-02-26 - 2006-03-04,36
2006-03-05 - 2006-03-11,18
2006-03-12 - 2006-03-18,18
2006-03-19 - 2006-03-25,17
2006-03-26 - 2006-04-01,29
2006-04-02 - 2006-04-08,24
2006-04-09 - 2006-04-15,24
2006-04-16 - 2006-04-22,23
2006-04-23 - 2006-04-29,22
2006-04-30 - 2006-05-06,23
2006-05-07 - 2006-05-13,22
2006-05-14 - 2006-05-20,27
2006-05-21 - 2006-05-27,21
2006-05-28 - 2006-06-03,34
2006-06-04 - 2006-06-10,52
2006-06-11 - 2006-06-17,59
2006-06-18 - 2006-06-24,33
2006-06-25 - 2006-07-01,37
2006-07-02 - 2006-07-08,20
2006-07-09 - 2006-07-15,17
2006-07-16 - 2006-07-22,18
2006-07-23 - 2006-07-29,19
2006-07-30 - 2006-08-05,18
2006-08-06 - 2006-08-12,24
2006-08-13 - 2006-08-19,27
2006-08-20 - 2006-08-26,27
2006-08-27 - 2006-09-02,39
2006-09-03 - 2006-09-09,23
2006-09-10 - 2006-09-16,20
2006-09-17 - 2006-09-23,36
2006-09-24 - 2006-09-30,24
2006-10-01 - 2006-10-07,24
2006-10-08 - 2006-10-14,36
2006-10-15 - 2006-10-21,24
2006-10-22 - 2006-10-28,23
2006-10-29 - 2006-11-04,28
2006-11-05 - 2006-11-11,28
2006-11-12 - 2006-11-18,26
2006-11-19 - 2006-11-25,24
2006-11-26 - 2006-12-02,42
2006-12-03 - 2006-12-09,26
2006-12-10 - 2006-12-16,51
2006-12-17 - 2006-12-23,18
2006-12-24 - 2006-12-30,20
2006-12-31 - 2007-01-06,20
2007-01-07 - 2007-01-13,20
2007-01-14 - 2007-01-20,21
2007-01-21 - 2007-01-27,23
2007-01-28 - 2007-02-03,22
2007-02-04 - 2007-02-10,30
2007-02-11 - 2007-02-17,30
2007-02-18 - 2007-02-24,30
2007-02-25 - 2007-03-03,27
2007-03-04 - 2007-03-10,26
2007-03-11 - 2007-03-17,26
2007-03-18 - 2007-03-24,26
2007-03-25 - 2007-03-31,28
2007-04-01 - 2007-04-07,26
2007-04-08 - 2007-04-14,28
2007-04-15 - 2007-04-21,38
2007-04-22 - 2007-04-28,30
2007-04-29 - 2007-05-05,29
2007-05-06 - 2007-05-12,27
2007-05-13 - 2007-05-19,25
2007-05-20 - 2007-05-26,25
2007-05-27 - 2007-06-02,30
2007-06-03 - 2007-06-09,35
2007-06-10 - 2007-06-16,30
2007-06-17 - 2007-06-23,27
2007-06-24 - 2007-06-30,37
2007-07-01 - 2007-07-07,36
2007-07-08 - 2007-07-14,38
2007-07-15 - 2007-07-21,36
2007-07-22 - 2007-07-28,26
2007-07-29 - 2007-08-04,27
2007-08-05 - 2007-08-11,30
2007-08-12 - 2007-08-18,30
2007-08-19 - 2007-08-25,31
2007-08-26 - 2007-09-01,45
2007-09-02 - 2007-09-08,26
2007-09-09 - 2007-09-15,35
2007-09-16 - 2007-09-22,24
2007-09-23 - 2007-09-29,24
2007-09-30 - 2007-10-06,34
2007-10-07 - 2007-10-13,28
2007-10-14 - 2007-10-20,21
2007-10-21 - 2007-10-27,17
2007-10-28 - 2007-11-03,18
2007-11-04 - 2007-11-10,21
2007-11-11 - 2007-11-17,21
2007-11-18 - 2007-11-24,24
2007-11-25 - 2007-12-01,24
2007-12-02 - 2007-12-08,18
2007-12-09 - 2007-12-15,18
2007-12-16 - 2007-12-22,15
2007-12-23 - 2007-12-29,15
2007-12-30 - 2008-01-05,15
2008-01-06 - 2008-01-12,16
2008-01-13 - 2008-01-19,17
2008-01-20 - 2008-01-26,16
2008-01-27 - 2008-02-02,19
2008-02-03 - 2008-02-09,26
2008-02-10 - 2008-02-16,24
2008-02-17 - 2008-02-23,26
2008-02-24 - 2008-03-01,25
2008-03-02 - 2008-03-08,25
2008-03-09 - 2008-03-15,24
2008-03-16 - 2008-03-22,22
2008-03-23 - 2008-03-29,27
2008-03-30 - 2008-04-05,22
2008-04-06 - 2008-04-12,24
2008-04-13 - 2008-04-19,23
2008-04-20 - 2008-04-26,23
2008-04-27 - 2008-05-03,24
2008-05-04 - 2008-05-10,29
2008-05-11 - 2008-05-17,23
2008-05-18 - 2008-05-24,22
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,24
2008-06-08 - 2008-06-14,22
2008-06-15 - 2008-06-21,22
2008-06-22 - 2008-06-28,26
2008-06-29 - 2008-07-05,22
2008-07-06 - 2008-07-12,19
2008-07-13 - 2008-07-19,21
2008-07-20 - 2008-07-26,23
2008-07-27 - 2008-08-02,27
2008-08-03 - 2008-08-09,60
2008-08-10 - 2008-08-16,79
2008-08-17 - 2008-08-23,97
2008-08-24 - 2008-08-30,32
2008-08-31 - 2008-09-06,26
2008-09-07 - 2008-09-13,25
2008-09-14 - 2008-09-20,46
2008-09-21 - 2008-09-27,38
2008-09-28 - 2008-10-04,33
2008-10-05 - 2008-10-11,28
2008-10-12 - 2008-10-18,31
2008-10-19 - 2008-10-25,34
2008-10-26 - 2008-11-01,45
2008-11-02 - 2008-11-08,30
2008-11-09 - 2008-11-15,29
2008-11-16 - 2008-11-22,48
2008-11-23 - 2008-11-29,28
2008-11-30 - 2008-12-06,29
2008-12-07 - 2008-12-13,25
2008-12-14 - 2008-12-20,34
2008-12-21 - 2008-12-27,24
2008-12-28 - 2009-01-03,17
2009-01-04 - 2009-01-10,20
2009-01-11 - 2009-01-17,22
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,26
2009-02-01 - 2009-02-07,34
2009-02-08 - 2009-02-14,38
2009-02-15 - 2009-02-21,32
2009-02-22 - 2009-02-28,31
2009-03-01 - 2009-03-07,37
2009-03-08 - 2009-03-14,35
2009-03-15 - 2009-03-21,35
2009-03-22 - 2009-03-28,33
2009-03-29 - 2009-04-04,45
2009-04-05 - 2009-04-11,36
2009-04-12 - 2009-04-18,37
2009-04-19 - 2009-04-25,44
2009-04-26 - 2009-05-02,35
2009-05-03 - 2009-05-09,38
2009-05-10 - 2009-05-16,40
2009-05-17 - 2009-05-23,41
2009-05-24 - 2009-05-30,42
2009-05-31 - 2009-06-06,41
2009-06-07 - 2009-06-13,38
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,36
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,45
2009-07-12 - 2009-07-18,41
2009-07-19 - 2009-07-25,43
2009-07-26 - 2009-08-01,45
2009-08-02 - 2009-08-08,42
2009-08-09 - 2009-08-15,52
2009-08-16 - 2009-08-22,43
2009-08-23 - 2009-08-29,36
2009-08-30 - 2009-09-05,46
2009-09-06 - 2009-09-12,53
2009-09-13 - 2009-09-19,38
2009-09-20 - 2009-09-26,35
2009-09-27 - 2009-10-03,38
2009-10-04 - 2009-10-10,42
2009-10-11 - 2009-10-17,46
2009-10-18 - 2009-10-24,28
2009-10-25 - 2009-10-31,36
2009-11-01 - 2009-11-07,30
2009-11-08 - 2009-11-14,31
2009-11-15 - 2009-11-21,28
2009-11-22 - 2009-11-28,30
2009-11-29 - 2009-12-05,32
2009-12-06 - 2009-12-12,29
2009-12-13 - 2009-12-19,29
2009-12-20 - 2009-12-26,26
2009-12-27 - 2010-01-02,24
2010-01-03 - 2010-01-09,25
2010-01-10 - 2010-01-16,27
2010-01-17 - 2010-01-23,29
2010-01-24 - 2010-01-30,31
2010-01-31 - 2010-02-06,30
2010-02-07 - 2010-02-13,29
2010-02-14 - 2010-02-20,30
2010-02-21 - 2010-02-27,26
2010-02-28 - 2010-03-06,49
2010-03-07 - 2010-03-13,30
2010-03-14 - 2010-03-20,26
2010-03-21 - 2010-03-27,30
2010-03-28 - 2010-04-03,28
2010-04-04 - 2010-04-10,34
2010-04-11 - 2010-04-17,32
2010-04-18 - 2010-04-24,32
2010-04-25 - 2010-05-01,29
2010-05-02 - 2010-05-08,39
2010-05-09 - 2010-05-15,40
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,35
2010-05-30 - 2010-06-05,34
2010-06-06 - 2010-06-12,66
2010-06-13 - 2010-06-19,86
2010-06-20 - 2010-06-26,70
2010-06-27 - 2010-07-03,75
2010-07-04 - 2010-07-10,36
2010-07-11 - 2010-07-17,28
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,30
2010-08-01 - 2010-08-07,29
2010-08-08 - 2010-08-14,34
2010-08-15 - 2010-08-21,27
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,35
2010-09-05 - 2010-09-11,37
2010-09-12 - 2010-09-18,31
2010-09-19 - 2010-09-25,26
2010-09-26 - 2010-10-02,24
2010-10-03 - 2010-10-09,28
2010-10-10 - 2010-10-16,25
2010-10-17 - 2010-10-23,24
2010-10-24 - 2010-10-30,19
2010-10-31 - 2010-11-06,19
2010-11-07 - 2010-11-13,24
2010-11-14 - 2010-11-20,35
2010-11-21 - 2010-11-27,22
2010-11-28 - 2010-12-04,25
2010-12-05 - 2010-12-11,24
2010-12-12 - 2010-12-18,21
2010-12-19 - 2010-12-25,17
2010-12-26 - 2011-01-01,17
2011-01-02 - 2011-01-08,19
2011-01-09 - 2011-01-15,22
2011-01-16 - 2011-01-22,26
2011-01-23 - 2011-01-29,23
2011-01-30 - 2011-02-05,25
2011-02-06 - 2011-02-12,35
2011-02-13 - 2011-02-19,26
2011-02-20 - 2011-02-26,23
2011-02-27 - 2011-03-05,25
2011-03-06 - 2011-03-12,25
2011-03-13 - 2011-03-19,26
2011-03-20 - 2011-03-26,25
2011-03-27 - 2011-04-02,25
2011-04-03 - 2011-04-09,26
2011-04-10 - 2011-04-16,26
2011-04-17 - 2011-04-23,29
2011-04-24 - 2011-04-30,28
2011-05-01 - 2011-05-07,26
2011-05-08 - 2011-05-14,26
2011-05-15 - 2011-05-21,27
2011-05-22 - 2011-05-28,29
2011-05-29 - 2011-06-04,31
2011-06-05 - 2011-06-11,27
2011-06-12 - 2011-06-18,30
2011-06-19 - 2011-06-25,42
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,37
2011-07-10 - 2011-07-16,33
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,27
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,24
2011-08-21 - 2011-08-27,22
2011-08-28 - 2011-09-03,28
2011-09-04 - 2011-09-10,27
2011-09-11 - 2011-09-17,31
2011-09-18 - 2011-09-24,25
2011-09-25 - 2011-10-01,23
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,33
2011-10-30 - 2011-11-05,19
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,21
2011-11-20 - 2011-11-26,18
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,22
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,13
2011-12-25 - 2011-12-31,13
2012-01-01 - 2012-01-07,13
2012-01-08 - 2012-01-14,13
2012-01-15 - 2012-01-21,16
2012-01-22 - 2012-01-28,18
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,18
2012-02-12 - 2012-02-18,17
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,24
2012-03-04 - 2012-03-10,18
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,18
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,21
2012-04-15 - 2012-04-21,22
2012-04-22 - 2012-04-28,20
2012-04-29 - 2012-05-05,19
2012-05-06 - 2012-05-12,20
2012-05-13 - 2012-05-19,21
2012-05-20 - 2012-05-26,22
2012-05-27 - 2012-06-02,21
2012-06-03 - 2012-06-09,21
2012-06-10 - 2012-06-16,22
2012-06-17 - 2012-06-23,22
2012-06-24 - 2012-06-30,24
2012-07-01 - 2012-07-07,20
2012-07-08 - 2012-07-14,17
2012-07-15 - 2012-07-21,18
2012-07-22 - 2012-07-28,31
2012-07-29 - 2012-08-04,64
2012-08-05 - 2012-08-11,53
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,20
2012-09-02 - 2012-09-08,20
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,29
2012-09-23 - 2012-09-29,17
2012-09-30 - 2012-10-06,18
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,17
2012-10-21 - 2012-10-27,16
2012-10-28 - 2012-11-03,18
2012-11-04 - 2012-11-10,17
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,17
2012-11-25 - 2012-12-01,16
2012-12-02 - 2012-12-08,16
2012-12-09 - 2012-12-15,16
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,12
2012-12-30 - 2013-01-05,11
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,16
2013-02-17 - 2013-02-23,15
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,16
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,18
2013-03-24 - 2013-03-30,19
2013-03-31 - 2013-04-06,20
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,17
2013-04-21 - 2013-04-27,21
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,18
2013-05-19 - 2013-05-25,18
2013-05-26 - 2013-06-01,21
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,19
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,18
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,19
2013-08-18 - 2013-08-24,16
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,15
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,15
2013-11-03 - 2013-11-09,15
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,13
2013-12-01 - 2013-12-07,22
2013-12-08 - 2013-12-14,16
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,10
2014-01-05 - 2014-01-11,11
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,13
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,15
2014-02-23 - 2014-03-01,14
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,16
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,35
2014-06-08 - 2014-06-14,74
2014-06-15 - 2014-06-21,100
2014-06-22 - 2014-06-28,65
2014-06-29 - 2014-07-05,67
2014-07-06 - 2014-07-12,38
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,13
2014-07-27 - 2014-08-02,11
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,12
2014-08-17 - 2014-08-23,12
2014-08-24 - 2014-08-30,16
2014-08-31 - 2014-09-06,29
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,11
2014-09-28 - 2014-10-04,12
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,13
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,8
2014-12-28 - 2015-01-03,9
2015-01-04 - 2015-01-10,9
2015-01-11 - 2015-01-17,17
2015-01-18 - 2015-01-24,15
2015-01-25 - 2015-01-31,16
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,12
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,11
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,11
2015-03-22 - 2015-03-28,14
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,11
2015-05-24 - 2015-05-30,13
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,19
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,32
2015-07-26 - 2015-08-01,16
2015-08-02 - 2015-08-08,12
2015-08-09 - 2015-08-15,10
2015-08-16 - 2015-08-22,9
2015-08-23 - 2015-08-29,12
2015-08-30 - 2015-09-05,16
2015-09-06 - 2015-09-12,21
2015-09-13 - 2015-09-19,15
2015-09-20 - 2015-09-26,14
2015-09-27 - 2015-10-03,10
2015-10-04 - 2015-10-10,14
2015-10-11 - 2015-10-17,13
2015-10-18 - 2015-10-24,11
2015-10-25 - 2015-10-31,10
2015-11-01 - 2015-11-07,11
2015-11-08 - 2015-11-14,15
2015-11-15 - 2015-11-21,19
2015-11-22 - 2015-11-28,11
2015-11-29 - 2015-12-05,12
2015-12-06 - 2015-12-12,10
2015-12-13 - 2015-12-19,14
2015-12-20 - 2015-12-26,12
2015-12-27 - 2016-01-02,9
2016-01-03 - 2016-01-09,10
2016-01-10 - 2016-01-16,13
2016-01-17 - 2016-01-23,11
2016-01-24 - 2016-01-30,13
2016-01-31 - 2016-02-06,12
2016-02-07 - 2016-02-13,15
2016-02-14 - 2016-02-20,13
2016-02-21 - 2016-02-27,13
2016-02-28 - 2016-03-05,14
2016-03-06 - 2016-03-12,13
2016-03-13 - 2016-03-19,13
2016-03-20 - 2016-03-26,20
2016-03-27 - 2016-04-02,19
2016-04-03 - 2016-04-09,14
2016-04-10 - 2016-04-16,14
2016-04-17 - 2016-04-23,14
2016-04-24 - 2016-04-30,20


Top regions for tyc
Region,tyc
Argentina,100
Uruguay,14
Paraguay,7
Slovakia,6
Czech Republic,5
Chile,3
Bolivia,2
Costa Rica,2
Peru,1
Colombia,1
Spain,1
Poland,1
Taiwan,1
United States,1
Ecuador,1
United Kingdom,1
Germany,1
Japan,1
Canada,1


Top cities for tyc
City,tyc
Avellaneda (Argentina),100
Santa Fe (Argentina),99
San Miguel de Tucumán (Argentina),97
Rosario (Argentina),93
Corrientes (Argentina),91
Paraná (Argentina),86
Lomas de Zamora (Argentina),80
Resistencia (Argentina),78
Buenos Aires (Argentina),76
Quilmes (Argentina),76
Mar del Plata (Argentina),76
La Plata (Argentina),71
Salta (Argentina),69
Córdoba (Argentina),69
Bahía Blanca (Argentina),66



Top searches for tyc
tyc sports,100
tyc vivo,35
tyc en vivo,35
tyc sports vivo,25
tyc sport,20
tyc online,10
tyc sport vivo,10
ver tyc,10
tyc sports online,5
tyc sports argentina,5
ver tyc sports,5
tv publica,5
tyc play,0
tyc sport online,0
ver tyc sport,0
tyc max,0
tyc sports play,0
tyc programacion,0
tyc sports programacion,0
tyc sports hd,0
tv publica online,0
tycsports,0



Rising searches for tyc
tyc sports online,+2,750%
tyc sports vivo,+1,400%
ver tyc sports,+1,150%
tyc online,+900%
tyc en vivo,+750%
tyc vivo,+700%
ver tyc,+650%
tyc sport vivo,+350%
tyc sports,+250%
tyc sports argentina,+130%



