Web Search interest: mrk
Worldwide 2004 - present

Interest over time
Week,mrk
2006-02-19 - 2006-02-25,58
2006-02-26 - 2006-03-04,54
2006-03-05 - 2006-03-11,46
2006-03-12 - 2006-03-18,52
2006-03-19 - 2006-03-25,53
2006-03-26 - 2006-04-01,90
2006-04-02 - 2006-04-08,75
2006-04-09 - 2006-04-15,63
2006-04-16 - 2006-04-22,44
2006-04-23 - 2006-04-29,50
2006-04-30 - 2006-05-06,52
2006-05-07 - 2006-05-13,37
2006-05-14 - 2006-05-20,54
2006-05-21 - 2006-05-27,47
2006-05-28 - 2006-06-03,45
2006-06-04 - 2006-06-10,62
2006-06-11 - 2006-06-17,51
2006-06-18 - 2006-06-24,33
2006-06-25 - 2006-07-01,47
2006-07-02 - 2006-07-08,39
2006-07-09 - 2006-07-15,44
2006-07-16 - 2006-07-22,40
2006-07-23 - 2006-07-29,59
2006-07-30 - 2006-08-05,59
2006-08-06 - 2006-08-12,42
2006-08-13 - 2006-08-19,60
2006-08-20 - 2006-08-26,55
2006-08-27 - 2006-09-02,47
2006-09-03 - 2006-09-09,42
2006-09-10 - 2006-09-16,55
2006-09-17 - 2006-09-23,55
2006-09-24 - 2006-09-30,40
2006-10-01 - 2006-10-07,43
2006-10-08 - 2006-10-14,45
2006-10-15 - 2006-10-21,69
2006-10-22 - 2006-10-28,54
2006-10-29 - 2006-11-04,45
2006-11-05 - 2006-11-11,49
2006-11-12 - 2006-11-18,48
2006-11-19 - 2006-11-25,40
2006-11-26 - 2006-12-02,43
2006-12-03 - 2006-12-09,52
2006-12-10 - 2006-12-16,53
2006-12-17 - 2006-12-23,43
2006-12-24 - 2006-12-30,34
2006-12-31 - 2007-01-06,45
2007-01-07 - 2007-01-13,45
2007-01-14 - 2007-01-20,42
2007-01-21 - 2007-01-27,49
2007-01-28 - 2007-02-03,47
2007-02-04 - 2007-02-10,51
2007-02-11 - 2007-02-17,50
2007-02-18 - 2007-02-24,43
2007-02-25 - 2007-03-03,89
2007-03-04 - 2007-03-10,63
2007-03-11 - 2007-03-17,43
2007-03-18 - 2007-03-24,39
2007-03-25 - 2007-03-31,47
2007-04-01 - 2007-04-07,48
2007-04-08 - 2007-04-14,65
2007-04-15 - 2007-04-21,61
2007-04-22 - 2007-04-28,57
2007-04-29 - 2007-05-05,53
2007-05-06 - 2007-05-12,51
2007-05-13 - 2007-05-19,45
2007-05-20 - 2007-05-26,49
2007-05-27 - 2007-06-02,39
2007-06-03 - 2007-06-09,38
2007-06-10 - 2007-06-16,44
2007-06-17 - 2007-06-23,44
2007-06-24 - 2007-06-30,43
2007-07-01 - 2007-07-07,37
2007-07-08 - 2007-07-14,35
2007-07-15 - 2007-07-21,41
2007-07-22 - 2007-07-28,62
2007-07-29 - 2007-08-04,46
2007-08-05 - 2007-08-11,43
2007-08-12 - 2007-08-18,40
2007-08-19 - 2007-08-25,44
2007-08-26 - 2007-09-01,41
2007-09-02 - 2007-09-08,37
2007-09-09 - 2007-09-15,39
2007-09-16 - 2007-09-22,44
2007-09-23 - 2007-09-29,43
2007-09-30 - 2007-10-06,45
2007-10-07 - 2007-10-13,41
2007-10-14 - 2007-10-20,43
2007-10-21 - 2007-10-27,47
2007-10-28 - 2007-11-03,47
2007-11-04 - 2007-11-10,58
2007-11-11 - 2007-11-17,47
2007-11-18 - 2007-11-24,51
2007-11-25 - 2007-12-01,50
2007-12-02 - 2007-12-08,62
2007-12-09 - 2007-12-15,56
2007-12-16 - 2007-12-22,47
2007-12-23 - 2007-12-29,41
2007-12-30 - 2008-01-05,44
2008-01-06 - 2008-01-12,52
2008-01-13 - 2008-01-19,61
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,60
2008-02-03 - 2008-02-09,61
2008-02-10 - 2008-02-16,49
2008-02-17 - 2008-02-23,76
2008-02-24 - 2008-03-01,53
2008-03-02 - 2008-03-08,46
2008-03-09 - 2008-03-15,50
2008-03-16 - 2008-03-22,47
2008-03-23 - 2008-03-29,47
2008-03-30 - 2008-04-05,82
2008-04-06 - 2008-04-12,59
2008-04-13 - 2008-04-19,60
2008-04-20 - 2008-04-26,63
2008-04-27 - 2008-05-03,79
2008-05-04 - 2008-05-10,54
2008-05-11 - 2008-05-17,51
2008-05-18 - 2008-05-24,50
2008-05-25 - 2008-05-31,47
2008-06-01 - 2008-06-07,51
2008-06-08 - 2008-06-14,44
2008-06-15 - 2008-06-21,43
2008-06-22 - 2008-06-28,50
2008-06-29 - 2008-07-05,47
2008-07-06 - 2008-07-12,42
2008-07-13 - 2008-07-19,46
2008-07-20 - 2008-07-26,64
2008-07-27 - 2008-08-02,70
2008-08-03 - 2008-08-09,51
2008-08-10 - 2008-08-16,55
2008-08-17 - 2008-08-23,43
2008-08-24 - 2008-08-30,41
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,39
2008-09-14 - 2008-09-20,49
2008-09-21 - 2008-09-27,44
2008-09-28 - 2008-10-04,43
2008-10-05 - 2008-10-11,52
2008-10-12 - 2008-10-18,57
2008-10-19 - 2008-10-25,50
2008-10-26 - 2008-11-01,50
2008-11-02 - 2008-11-08,40
2008-11-09 - 2008-11-15,39
2008-11-16 - 2008-11-22,45
2008-11-23 - 2008-11-29,42
2008-11-30 - 2008-12-06,45
2008-12-07 - 2008-12-13,45
2008-12-14 - 2008-12-20,39
2008-12-21 - 2008-12-27,40
2008-12-28 - 2009-01-03,40
2009-01-04 - 2009-01-10,48
2009-01-11 - 2009-01-17,43
2009-01-18 - 2009-01-24,44
2009-01-25 - 2009-01-31,40
2009-02-01 - 2009-02-07,46
2009-02-08 - 2009-02-14,44
2009-02-15 - 2009-02-21,41
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,43
2009-03-08 - 2009-03-14,63
2009-03-15 - 2009-03-21,50
2009-03-22 - 2009-03-28,45
2009-03-29 - 2009-04-04,47
2009-04-05 - 2009-04-11,44
2009-04-12 - 2009-04-18,43
2009-04-19 - 2009-04-25,46
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,42
2009-05-10 - 2009-05-16,43
2009-05-17 - 2009-05-23,42
2009-05-24 - 2009-05-30,36
2009-05-31 - 2009-06-06,43
2009-06-07 - 2009-06-13,41
2009-06-14 - 2009-06-20,43
2009-06-21 - 2009-06-27,45
2009-06-28 - 2009-07-04,31
2009-07-05 - 2009-07-11,33
2009-07-12 - 2009-07-18,38
2009-07-19 - 2009-07-25,54
2009-07-26 - 2009-08-01,44
2009-08-02 - 2009-08-08,41
2009-08-09 - 2009-08-15,38
2009-08-16 - 2009-08-22,45
2009-08-23 - 2009-08-29,38
2009-08-30 - 2009-09-05,37
2009-09-06 - 2009-09-12,35
2009-09-13 - 2009-09-19,37
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,36
2009-10-04 - 2009-10-10,37
2009-10-11 - 2009-10-17,36
2009-10-18 - 2009-10-24,41
2009-10-25 - 2009-10-31,36
2009-11-01 - 2009-11-07,40
2009-11-08 - 2009-11-14,38
2009-11-15 - 2009-11-21,39
2009-11-22 - 2009-11-28,36
2009-11-29 - 2009-12-05,39
2009-12-06 - 2009-12-12,43
2009-12-13 - 2009-12-19,37
2009-12-20 - 2009-12-26,33
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,42
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,39
2010-01-31 - 2010-02-06,39
2010-02-07 - 2010-02-13,41
2010-02-14 - 2010-02-20,42
2010-02-21 - 2010-02-27,36
2010-02-28 - 2010-03-06,40
2010-03-07 - 2010-03-13,39
2010-03-14 - 2010-03-20,38
2010-03-21 - 2010-03-27,41
2010-03-28 - 2010-04-03,40
2010-04-04 - 2010-04-10,38
2010-04-11 - 2010-04-17,37
2010-04-18 - 2010-04-24,35
2010-04-25 - 2010-05-01,37
2010-05-02 - 2010-05-08,39
2010-05-09 - 2010-05-15,40
2010-05-16 - 2010-05-22,37
2010-05-23 - 2010-05-29,34
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,36
2010-06-20 - 2010-06-26,38
2010-06-27 - 2010-07-03,41
2010-07-04 - 2010-07-10,40
2010-07-11 - 2010-07-17,40
2010-07-18 - 2010-07-24,35
2010-07-25 - 2010-07-31,38
2010-08-01 - 2010-08-07,35
2010-08-08 - 2010-08-14,32
2010-08-15 - 2010-08-21,33
2010-08-22 - 2010-08-28,35
2010-08-29 - 2010-09-04,36
2010-09-05 - 2010-09-11,32
2010-09-12 - 2010-09-18,33
2010-09-19 - 2010-09-25,36
2010-09-26 - 2010-10-02,37
2010-10-03 - 2010-10-09,37
2010-10-10 - 2010-10-16,37
2010-10-17 - 2010-10-23,36
2010-10-24 - 2010-10-30,35
2010-10-31 - 2010-11-06,37
2010-11-07 - 2010-11-13,38
2010-11-14 - 2010-11-20,40
2010-11-21 - 2010-11-27,33
2010-11-28 - 2010-12-04,33
2010-12-05 - 2010-12-11,38
2010-12-12 - 2010-12-18,37
2010-12-19 - 2010-12-25,50
2010-12-26 - 2011-01-01,35
2011-01-02 - 2011-01-08,60
2011-01-09 - 2011-01-15,46
2011-01-16 - 2011-01-22,41
2011-01-23 - 2011-01-29,42
2011-01-30 - 2011-02-05,39
2011-02-06 - 2011-02-12,37
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,32
2011-02-27 - 2011-03-05,37
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,38
2011-03-20 - 2011-03-26,34
2011-03-27 - 2011-04-02,37
2011-04-03 - 2011-04-09,34
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,43
2011-05-01 - 2011-05-07,37
2011-05-08 - 2011-05-14,35
2011-05-15 - 2011-05-21,37
2011-05-22 - 2011-05-28,36
2011-05-29 - 2011-06-04,35
2011-06-05 - 2011-06-11,37
2011-06-12 - 2011-06-18,86
2011-06-19 - 2011-06-25,32
2011-06-26 - 2011-07-02,33
2011-07-03 - 2011-07-09,32
2011-07-10 - 2011-07-16,35
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,33
2011-07-31 - 2011-08-06,35
2011-08-07 - 2011-08-13,39
2011-08-14 - 2011-08-20,34
2011-08-21 - 2011-08-27,31
2011-08-28 - 2011-09-03,30
2011-09-04 - 2011-09-10,30
2011-09-11 - 2011-09-17,33
2011-09-18 - 2011-09-24,34
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,34
2011-10-09 - 2011-10-15,32
2011-10-16 - 2011-10-22,32
2011-10-23 - 2011-10-29,33
2011-10-30 - 2011-11-05,32
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,33
2011-11-20 - 2011-11-26,33
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,38
2011-12-11 - 2011-12-17,34
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,31
2012-01-01 - 2012-01-07,37
2012-01-08 - 2012-01-14,37
2012-01-15 - 2012-01-21,36
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,34
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,35
2012-03-04 - 2012-03-10,37
2012-03-11 - 2012-03-17,35
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,34
2012-04-15 - 2012-04-21,32
2012-04-22 - 2012-04-28,34
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,33
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,35
2012-05-27 - 2012-06-02,34
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,31
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,31
2012-07-01 - 2012-07-07,31
2012-07-08 - 2012-07-14,36
2012-07-15 - 2012-07-21,34
2012-07-22 - 2012-07-28,35
2012-07-29 - 2012-08-04,35
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,30
2012-08-26 - 2012-09-01,31
2012-09-02 - 2012-09-08,30
2012-09-09 - 2012-09-15,32
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,35
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,38
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,33
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,32
2012-11-25 - 2012-12-01,32
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,32
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,33
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,35
2013-02-10 - 2013-02-16,34
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,33
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,33
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,33
2013-04-07 - 2013-04-13,39
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,39
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,34
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,34
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,35
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,29
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,33
2013-10-13 - 2013-10-19,33
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,32
2013-11-03 - 2013-11-09,33
2013-11-10 - 2013-11-16,32
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,34
2013-12-01 - 2013-12-07,33
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,33
2013-12-22 - 2013-12-28,31
2013-12-29 - 2014-01-04,30
2014-01-05 - 2014-01-11,34
2014-01-12 - 2014-01-18,42
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,39
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,39
2014-02-16 - 2014-02-22,35
2014-02-23 - 2014-03-01,37
2014-03-02 - 2014-03-08,36
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,35
2014-03-23 - 2014-03-29,36
2014-03-30 - 2014-04-05,35
2014-04-06 - 2014-04-12,38
2014-04-13 - 2014-04-19,41
2014-04-20 - 2014-04-26,37
2014-04-27 - 2014-05-03,43
2014-05-04 - 2014-05-10,41
2014-05-11 - 2014-05-17,36
2014-05-18 - 2014-05-24,33
2014-05-25 - 2014-05-31,35
2014-06-01 - 2014-06-07,37
2014-06-08 - 2014-06-14,34
2014-06-15 - 2014-06-21,35
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,34
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,34
2014-07-20 - 2014-07-26,34
2014-07-27 - 2014-08-02,35
2014-08-03 - 2014-08-09,34
2014-08-10 - 2014-08-16,33
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,34
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,36
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,34
2014-09-28 - 2014-10-04,34
2014-10-05 - 2014-10-11,36
2014-10-12 - 2014-10-18,38
2014-10-19 - 2014-10-25,37
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,39
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,36
2014-11-23 - 2014-11-29,36
2014-11-30 - 2014-12-06,37
2014-12-07 - 2014-12-13,42
2014-12-14 - 2014-12-20,42
2014-12-21 - 2014-12-27,35
2014-12-28 - 2015-01-03,31
2015-01-04 - 2015-01-10,36
2015-01-11 - 2015-01-17,37
2015-01-18 - 2015-01-24,37
2015-01-25 - 2015-01-31,36
2015-02-01 - 2015-02-07,40
2015-02-08 - 2015-02-14,36
2015-02-15 - 2015-02-21,38
2015-02-22 - 2015-02-28,37
2015-03-01 - 2015-03-07,38
2015-03-08 - 2015-03-14,38
2015-03-15 - 2015-03-21,95
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,39
2015-04-05 - 2015-04-11,37
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,36
2015-04-26 - 2015-05-02,42
2015-05-03 - 2015-05-09,40
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,34
2015-05-31 - 2015-06-06,33
2015-06-07 - 2015-06-13,32
2015-06-14 - 2015-06-20,35
2015-06-21 - 2015-06-27,32
2015-06-28 - 2015-07-04,30
2015-07-05 - 2015-07-11,30
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,32
2015-07-26 - 2015-08-01,34
2015-08-02 - 2015-08-08,32
2015-08-09 - 2015-08-15,32
2015-08-16 - 2015-08-22,34
2015-08-23 - 2015-08-29,39
2015-08-30 - 2015-09-05,37
2015-09-06 - 2015-09-12,33
2015-09-13 - 2015-09-19,36
2015-09-20 - 2015-09-26,36
2015-09-27 - 2015-10-03,47
2015-10-04 - 2015-10-10,37
2015-10-11 - 2015-10-17,35
2015-10-18 - 2015-10-24,38
2015-10-25 - 2015-10-31,36
2015-11-01 - 2015-11-07,36
2015-11-08 - 2015-11-14,35
2015-11-15 - 2015-11-21,34
2015-11-22 - 2015-11-28,31
2015-11-29 - 2015-12-05,38
2015-12-06 - 2015-12-12,37
2015-12-13 - 2015-12-19,39
2015-12-20 - 2015-12-26,31
2015-12-27 - 2016-01-02,34
2016-01-03 - 2016-01-09,34
2016-01-10 - 2016-01-16,38
2016-01-17 - 2016-01-23,38
2016-01-24 - 2016-01-30,39
2016-01-31 - 2016-02-06,40
2016-02-07 - 2016-02-13,39
2016-02-14 - 2016-02-20,37
2016-02-21 - 2016-02-27,38
2016-02-28 - 2016-03-05,37
2016-03-06 - 2016-03-12,38
2016-03-13 - 2016-03-19,37
2016-03-20 - 2016-03-26,39
2016-03-27 - 2016-04-02,38
2016-04-03 - 2016-04-09,36
2016-04-10 - 2016-04-16,38
2016-04-17 - 2016-04-23,38
2016-04-24 - 2016-04-30,42


Top regions for mrk
Region,mrk
Slovenia,100
Czech Republic,78
Slovakia,48
Norway,14
Croatia,11
Denmark,8
Serbia,7
Ireland,5
Australia,5
Indonesia,5
United States,4
United Kingdom,4
Austria,4
Turkey,4
Netherlands,3
Saudi Arabia,3
India,3
Canada,3
Sweden,2
Germany,2
Italy,1
Poland,1
Spain,1
Japan,1
France,1
Brazil,1


Top cities for mrk
City,mrk
Lansdale (United States),100
Ljubljana (Slovenia),21
Ostrava (Czech Republic),19
Brno (Czech Republic),17
Prague (Czech Republic),13
Bratislava (Slovakia),9
Oslo (Norway),3
Zagreb (Croatia),3
Philadelphia (United States),2
Jakarta (Indonesia),1
Chennai (India),1
New York (United States),1
Sydney (Australia),1
Washington (United States),1
Ankara (Turkey),1



Top searches for mrk
mrk stock,100
mrk 1,45
lunin mrk,40
mrk stock price,30
sončni mrk,25
quote mrk,20
media mrk,15
mrk 117,15
mrk news,15
sončev mrk,15
mrk cz,15
mrk krka,15
mrk dividend,15
mrk pazarlama,10
mrk syndroom,10
mrk dresses,10
mrk stock quote,10
mrk sport,10
mrk associates,10
mrk healthcare,10
mrk twain,10
mrk consulting,5
mrk super,5
mrk public,5



Rising searches for mrk
mrk stock price,+450%
mrk stock,+350%
quote mrk,+160%
sončni mrk,+130%
lunin mrk,+50%



